key,name,shortname,season,competition_class,competition_type,hosted_by,starting_date,ending_date,city,country,site_url,timezone,parser,comment,updating,status
gpjpn2015,ISU GP NHK Trophy 2015 ,GP NHK,2015-16,ISU,GP,ISU,2015/11/26,2015/11/29,Nagano,Japan,http://www.isuresults.com/results/season1516/gpjpn2015/,UTC+9,ISU,,,
gpusa2015,ISU GP Skate America 2015 ,GP America,2015-16,ISU,GP,ISU,2015/10/22,2015/10/25,UW,USA,http://www.isuresults.com/results/season1516/gpusa2015/,UTC-9,ISU,,,
gpcan2015,ISU GP Skate Canada 2015 ,GP Canada,2015-16,ISU,GP,ISU,2015/10/29,2015/11/1,Lethbrige AB,Canada,http://www.isuresults.com/results/season1516/gpcan2015/,UTC-7,ISU,,,
gpf2015,ISU Grand Prix of Figure Skating Final 2015/16,GP Final,2015-16,ISU,GP,ISU,2015/12/9,2015/12/13,Barcelona,Spain,http://www.isuresults.com/results/season1516/gpf1516/,UTC-8,ISU,,,
jgpf2015,ISU Junior Grand Prix of Figure Skating Final 2015/16,JGP Final,2015-16,ISU,JGP,ISU,2015/12/9,2015/12/13,Barcelona,Spain,http://www.isuresults.com/results/season1516/gpf1516/,UTC-8,ISU,,,
gprus2015,ISU GP Rostelecom Cup 2015,GP Rostele,2015-16,ISU,GP,ISU,2015/11/19,2015/11/22,Moscow,Russia,http://www.isuresults.com/results/season1516/gprus2015/,,ISU,,,
gpfra2015,ISU GP Trophee Eric Bompard 2015,GP TEB,2015-16,ISU,GP,ISU,2015/11/12,2015/11/15,Bordeaux,France,http://www.isuresults.com/results/season1516/gpfra2015/,,ISU,Free Skating Canceled,,
world2015,World Figure Skating Championship,World,2015-16,ISU,World,ISU,2016/3/28,2016/4/3,Boston,USA,,,ISU,,,
warsawcup2015,Warsaw Cup 2015,Warsaw,2015-16,Calendar,,Russian Fed,2015/11/26,2015/11/29,Warsaw,Russia,http://pfsa.com.pl/cspol15/index.htm,,ISU,,,
nrw2015,NRW Trophy 2015,NRW,2015-16,Calendar,,German Fed,2015/11/24,2015/11/29,Dortmund,German,http://www.lev-nrw.org/docs/event/1469/index.htm,,ISU,,,
torun2016,Mentor Nestl? Nesquik Torun Cup 2016,Torun Cup,2015-16,Calendar,,Porland Fed,2016/1/6,2016/1/10,Torun,Porland,http://www.pfsa.com.pl/results/1516/TOR0116/index.htm,UTC-8,,,,
alljapan2015,‘æ‚W4‰ñ‘S“ú–{‘IŽèŒ ‘å‰ï,AllJapan,2015-16,National,,Japan Fed,2015/12/24,2015/12/27,Sapporo,Japan,http://www.jsfresults.com/National/2015-2016/fs_j/nationalsenior/,Tokyo,,,,
pavel2015,PAVEL ROMAN MEMORIAL,Pavel,2015-16,Calendar,,tba,2015/11/19,2015/11/23,Olomouc,Czech,http://czechskating.org/vysledky/htm2077/,,ISU,,,
goldensin2015,48th Golden Spin of Zagreb,GoldenSpin,2015-16,Calendar,,tba,2015/12/3,2015/12/5,Zagresb,tba,http://www.tvoj-toner.com/goldenspin/index.htm,,ISU,,skip,
