competition_key,category,segment,starting_time
alljapan2015,男子,Short Program,2015/12/25 17:25
alljapan2015,男子,Free Skating,2015/12/26 17:55
alljapan2015,女子,Short Program,2015/12/26 13:45
alljapan2015,女子,Free Skating,2015/12/27 15:55
alljapan2015,アイスダンス,Short Dance,2015/12/25 15:00
alljapan2015,アイスダンス,Free Dance,2015/12/27 13:00
alljapan2015,ペア,Short Program,2015/12/25 16:35
alljapan2015,ペア,Free Skating,2015/12/27 14:50
alljapan2015,ジュニアペア,Short Program,2015/12/25 16:05
alljapan2015,ジュニアペア,Free Skating,2015/12/27 14:15
